title,textDisplay,parentId,authorChannelId,authorDisplayName,likeCount,publishedAt
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],"Yeji: Not Shy Not Me
Me: Give me da da da da 
Yeji: Tell me now if you're d-d-d-d-down
Me: Oh, right, its the english version of not shy",Ugw2MgSKDOtCQYvDmvh4AaABAg,UCqPqsL-2eSUEowW4CQ8VCsg,•_zb_•,2944,2021-01-22T07:45:58Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],True WAHAHA,Ugw2MgSKDOtCQYvDmvh4AaABAg,UCyAtb4pD68ovrtInIrzGOww,Lexica Stewart,16,2021-01-22T08:40:40Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],hahahahaha,Ugw2MgSKDOtCQYvDmvh4AaABAg,UC9nPr_9lVtA_7EwruHezOpg,Chaeyoung is oPpAr,4,2021-01-22T10:59:21Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],lee 🧚‍♀️ minho ✨ lee 💅🏼 minho 🤧 cause 😛 im 🌈 not ❌ shy 🧏‍♀️,Ugw2MgSKDOtCQYvDmvh4AaABAg,UCmb4ZicQ_VQxoa2dSqAVWoA,Lia,51,2021-01-22T16:10:26Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Kimi tatatatata*,Ugw2MgSKDOtCQYvDmvh4AaABAg,UCwV3ykHVzWq_pznVA1ZFqXQ,Arif Iman,5,2021-01-24T09:42:59Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Your not wrong that happened when I was on a live 😂,Ugw2MgSKDOtCQYvDmvh4AaABAg,UC7Gu5nLMswOU7OnnhgPSYvQ,Mikeira Varso-Suits,4,2021-01-28T20:21:37Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@reinley it’s the Korean version is give me da da da da ddda englsih is yellow me now if you d d dddown she sang korean nor englsih,Ugw2MgSKDOtCQYvDmvh4AaABAg,UC7Gu5nLMswOU7OnnhgPSYvQ,Mikeira Varso-Suits,1,2021-02-06T00:14:18Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@reinley yep,Ugw2MgSKDOtCQYvDmvh4AaABAg,UC7Gu5nLMswOU7OnnhgPSYvQ,Mikeira Varso-Suits,1,2021-02-06T06:34:26Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Chaeyoung is oPpAr   .            .,Ugw2MgSKDOtCQYvDmvh4AaABAg,UCTwTy3cPVAl-3kDWKhM9PFA,Miley G Ramirez,1,2021-03-02T03:33:56Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],True 😅😅,Ugw2MgSKDOtCQYvDmvh4AaABAg,UCw9bcbfSpyUYIpGnuRTj9gQ,Kiyomi,1,2021-05-31T05:53:23Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Gurl same,Ugw2MgSKDOtCQYvDmvh4AaABAg,UCsNTT1siuOpYfg0riepaIhA,𝐜𝐡𝐚𝐞𝐫𝐫𝐲♡,1,2022-05-14T08:17:59Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],SAME,Ugw2MgSKDOtCQYvDmvh4AaABAg,UC0A1-GkTmPfGGm1P-k2svIg,PARTHASARATHI MURUGAIYAN,1,2022-05-29T11:33:07Z
