title,textDisplay,parentId,authorChannelId,authorDisplayName,likeCount,publishedAt
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],I like this english version better than the korean strangely..,Ugx9l-beSzY9s4TayIN4AaABAg,UClEaZ4KpE1TcExTzYEbj1vQ,satria222poxy,3641,2021-01-22T06:22:49Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],I love original version but this also slaps,Ugx9l-beSzY9s4TayIN4AaABAg,UC17E_yOVm7ysrZQmghLEjDg,minari is here to be loved :),305,2021-01-22T09:32:21Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Somehow I like all their title tracks in English except Not Shy,Ugx9l-beSzY9s4TayIN4AaABAg,UCxZCiyKGdKIfeKUgljQ_6AA,Tsu Chan,218,2021-01-22T10:01:01Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],i think it’s because their english is so good and that half of their lyrics were already in english,Ugx9l-beSzY9s4TayIN4AaABAg,UCQAaCfuh2ohpU80jlehTOvA,Sarai Chance,153,2021-01-22T11:36:42Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Wannabe is so good in eng and also i love the lyrics,Ugx9l-beSzY9s4TayIN4AaABAg,UC5fmAD6m_UC5aCJv-ON1iXg,khan,65,2021-01-22T12:13:00Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Tsu Chan I love all of their English tracks and Not Shy is actually my fave English Version!,Ugx9l-beSzY9s4TayIN4AaABAg,UCO-MQEqDPYyb9S_AUcr7XJg,Hey!,40,2021-01-22T12:31:43Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Tsu Chan Not shy sounds weird to me. i can’t sing it in english I have to sing it in korean. When I sing it in english it’s like i forget how to talk 😂😂,Ugx9l-beSzY9s4TayIN4AaABAg,UC8H_tTZhd6wFuUxQwVBVw7g,Sophia Ynclan,40,2021-01-22T16:14:32Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Anyone notice that lia voice is a bit lower then the Korean version but I love it and man I love this group,Ugx9l-beSzY9s4TayIN4AaABAg,UC4uodtffTXLvbIwwTSymi_g,Danny,21,2021-01-22T16:21:33Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],it’s so much betterrr,Ugx9l-beSzY9s4TayIN4AaABAg,UCTxQFJa0Szi7lBgMbELesQA,fallenfortzuyu,5,2021-01-22T20:48:52Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Probably because it’s easier to understand,Ugx9l-beSzY9s4TayIN4AaABAg,UCHuL5qogPo0mVZ1CjA9haTA,KpopMinnie-Yunjinnie,1,2021-01-22T23:46:32Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],I like both😌,Ugx9l-beSzY9s4TayIN4AaABAg,UCsUGAmxII4Csesef7PXb73Q,sana,0,2021-01-23T04:06:12Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],I like both,Ugx9l-beSzY9s4TayIN4AaABAg,UC7uGe80gPDwq1LoBNrBpYHQ,wow,0,2021-01-23T04:07:47Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Tsu Chan yah same,Ugx9l-beSzY9s4TayIN4AaABAg,UCvjT0Obt2IrMmz0Uj21SHlA,Ellen Bitch,0,2021-01-23T10:07:57Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Original is so much better but this is good too,Ugx9l-beSzY9s4TayIN4AaABAg,UCtWdMA-auoBprO2bESZYfRg,Yariha,2,2021-01-23T12:49:15Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],There vocals are stronger in this version,Ugx9l-beSzY9s4TayIN4AaABAg,UCoenK5RMrC2ejjMrQysswAg,K-Popfolife,1,2021-01-23T12:51:20Z
ITZY - 'ICY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],I loce the original but this is also a bop,Ugx9l-beSzY9s4TayIN4AaABAg,UCKGOhHR_uO4yAf3SN6vaMlw,harshil midzy,1,2021-01-24T06:41:20Z
