title,textDisplay,parentId,authorChannelId,authorDisplayName,likeCount,publishedAt
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",This has to be like one of the best English translated kpop songs existed like did you guys hear those flows and those rhymes? Like that pre-chorus is sooo nice. Really kudos to their English translators and kudos to Itzy members too for working hard with their English pronunciations and communication skills 👏 👏 👏,UgzSaSleQGkQEGx3t5d4AaABAg,UC6FbIcILSh2L6nY7Zx-PHRw,fox rain // truth hurts certain narratives,1236,2022-07-18T15:08:59Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",You should check out their older english translated songs,UgzSaSleQGkQEGx3t5d4AaABAg,UC7CvdGEkOZA81o_hWFylvYw,Clingy Bish,20,2022-07-18T15:24:11Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​","I don’t think they really needed to translate much. I get impression from how perfectly the rhyming couplets are that the song was probably written in English originally, then had bits translated into Korean for the main release.<br><br>The writers of the song aren’t Korean and it’s pretty common for songs to be written with a guide English lyric before being rewritten in Korean. If you lay out the lyrics of the Korean version there’s actually not much Korean in it lol<br><br>Itzy have done really well with their songs I think, in terms of having both Korean and English versions that work well without being clunky. They are, along with (G)I-dle, I think some of the best at it right now.",UgzSaSleQGkQEGx3t5d4AaABAg,UC8jDqCZr9Tmbf3z431W5Oww,Doug,106,2022-07-18T15:31:58Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",@Clingy BishAlready listened to them all the moment they came out and the only one I really truly enjoy was probably Mafia in the Morning. Others felt a bit forced like I&#39;m still questioning why they picked to lead their English releases with Not Shy lol. Like Not Shy is one of my fav title track from Itzy but the English ver fell kinda flat for me personally &amp; this one is actually pretty good so  :)),UgzSaSleQGkQEGx3t5d4AaABAg,UC6FbIcILSh2L6nY7Zx-PHRw,fox rain // truth hurts certain narratives,18,2022-07-18T15:32:38Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",What about Loco? I can understand your feelings for the others but I think Loco was the best at sounding natural.,UgzSaSleQGkQEGx3t5d4AaABAg,UC9a4k04CNTizGYrH6umNk1A,Erica Sharp,18,2022-07-18T15:38:20Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​","Fun fact, it&#39;s actually often first written in English and then translated to Korean (at least this specific track was). What Doug said in the comments is spot on",UgzSaSleQGkQEGx3t5d4AaABAg,UCKZd_wmFXN2fvRemi52uzhw,Elliot Lakefield,28,2022-07-18T15:42:03Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",I think the demo was in English and they translated it into Korean. (Songwriters are English),UgzSaSleQGkQEGx3t5d4AaABAg,UC5OS9h6Ej6Ad2NdHW3fk3uQ,T1111,13,2022-07-18T15:59:11Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",tbh all of itzy&#39;s english songs are really good and faithful to the original,UgzSaSleQGkQEGx3t5d4AaABAg,UCOCIj0L1fEG-yxJw_nX72Sg,zapp6602,6,2022-07-18T16:01:22Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​","<a href=""https://youtu.be/ixtCXCVKH6s"">https://youtu.be/ixtCXCVKH6s</a>",UgzSaSleQGkQEGx3t5d4AaABAg,UCGlnYfRmTF76pJ9qAyIVifw,T.E ent,0,2022-07-18T16:41:00Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​","@fox rain // truth hurts certain narratives i think maybe they werent even &quot;translated&quot;. The english ver. of wannabe sounds like it was first made with english lyrics THEN was given korean lyrics. I know for a fact Mafia in the morning was an english demo at first, so i think a lot of their songs were he same case with how seamless the english lyrics fit in with each of the songs&#39;s rhyme scheme.",UgzSaSleQGkQEGx3t5d4AaABAg,UC7CvdGEkOZA81o_hWFylvYw,Clingy Bish,6,2022-07-18T16:56:32Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",Thing is the origional English lyrics where probably more mature and current but Koreans may not understand them so they may need to simplify them so globally they can be understood and pronounced well by the artist. Probs a much different song originally 😏,UgzSaSleQGkQEGx3t5d4AaABAg,UCKUdZ2lkc_g-llrLYUSRa2A,Jenny Pier,6,2022-07-18T17:07:30Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",Wannabe sounds great in English too,UgzSaSleQGkQEGx3t5d4AaABAg,UCa4ila_9xPNPMgA97dH3XFg,Annabella Nguyen,1,2022-07-18T17:12:49Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",@fox rain // truth hurts certain narratives That was probably mainly a timing thing. By the time they got to Not Shy they had enough singles to release in English as an EP.,UgzSaSleQGkQEGx3t5d4AaABAg,UC8jDqCZr9Tmbf3z431W5Oww,Doug,1,2022-07-18T17:15:04Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",+ Loco eng.ver - itzy<br>THIS THE BEST,UgzSaSleQGkQEGx3t5d4AaABAg,UCDMiwC1GBM0IPiwy0RTSoYw,regina,0,2022-07-18T17:17:06Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",cuz the writers and composer of sneakers speaks english,UgzSaSleQGkQEGx3t5d4AaABAg,UCTxfa9XRo08jPad8G_wAHtA,Iz*one_n_only,0,2022-07-18T21:50:02Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​","Right. English version hit different😜 <br><a href=""https://youtu.be/XrFnEw0ZOzc"">https://youtu.be/XrFnEw0ZOzc</a>",UgzSaSleQGkQEGx3t5d4AaABAg,UCQqmF49zSNcLSParnUAYEHg,HelCpio,0,2022-07-20T05:33:32Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",Saaaamee,UgzSaSleQGkQEGx3t5d4AaABAg,UCS__Yv5HoYyEgvbmfYU-8Bg,yesyesyes123,0,2022-07-20T13:19:04Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",This is honestly the only English version song they have that is actually listenable. The others sound really bad but this is good for a change,UgzSaSleQGkQEGx3t5d4AaABAg,UCxYytuBz15OUk8rmokdMQVA,Fleur,0,2022-07-21T05:02:55Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",ok but you raelly need to check out cry for me english version you gonna change your point of view,UgzSaSleQGkQEGx3t5d4AaABAg,UC57Xr6Idb6nTQYprqUxxQfA,hay tem,0,2022-07-23T13:54:00Z
"ITZY ""SNEAKERS (English Ver.)"" Lyric Video  @ITZY ​",they write the korean versions based on the original english versions...,UgzSaSleQGkQEGx3t5d4AaABAg,UCid_sSIZ-hY0JrYyLD8hd_Q,Alonso Angeles,0,2022-08-11T02:41:30Z
