videoId,title,commentId,textDisplay,authorDisplayName,likeCount,publishedAt,updatedAt
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugz3xVYfBqChe6BNAdp4AaABAg,"yeji‘s part with the “you never know”, the dance of it is so addictive",stvr 🎧,1670,2023-05-17T16:45:19Z,2023-05-17T16:45:19Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwcTsKmCxcGvgrOBM14AaABAg,Itzy needs more comebacks like this .,Bella,2130,2023-06-12T19:41:18Z,2023-06-12T19:41:18Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugwfc7xCqBG69ZjwjEJ4AaABAg,their dancing is on another level,Лена,1366,2023-03-03T10:50:39Z,2023-03-03T10:50:39Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwCVfpSQf8lpe6xXDt4AaABAg,If ITZY would release another song like this I would be the happiest girl on earth.,Just a random person,577,2023-07-19T23:43:56Z,2023-07-19T23:43:56Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgzIxWkY-_jHQU9Regt4AaABAg,"It's 2023 and this is still my favourite song from them. It's just so unique, it never gets boring",BTS♡Miracle,379,2023-07-02T21:16:37Z,2023-07-02T21:16:37Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyenupKgzVzB8-8B7V4AaABAg,Love it,yacine dia sow,5,2023-08-05T01:08:58Z,2023-08-05T01:08:58Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwU1jSqmA9p-Hou5It4AaABAg,This song never gets boring or annoying. I found myself everyday here.,Eyyyy,7030,2021-05-28T11:53:01Z,2021-05-28T11:53:01Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwPI6q3mvdrCPYHSvh4AaABAg,They’re so badass in this mv. Especially the part where Chaeryeong swings her hips with the fire in the background. 🔥🔥🔥,kss_2277,204,2023-06-14T00:24:53Z,2023-06-14T00:24:53Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugxa2d9MTn3iWmOneIZ4AaABAg,Itzy's best songs 💞💞,Jennie kim,7,2023-08-27T04:27:48Z,2023-08-27T04:27:48Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgzX-GGjymKln7AHZH54AaABAg,かっこよくて涙が出ます,mkmk.,7,2023-09-17T10:34:19Z,2023-09-17T10:34:19Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyPIV0fI5oKghHIq9x4AaABAg,"It's September and this is still my favourite song from ITZY . It's just so unique, it never gets boring",itzy_lia,8,2023-09-28T09:54:59Z,2023-09-28T09:54:59Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugx8ooqzJ3MY6GdGSe94AaABAg,It’s crazy how many people come back to this every second.this girls are LEGENDS.,lisa fiets,5,2023-09-27T11:57:38Z,2023-09-27T11:57:38Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugzeb3AkEt6c0jAxEax4AaABAg,"Stop picking who's era is this, they are a group of 5 girls who are so talented each one shining on her way, and what's all matter is that the song is ABSOLUTELY PERFECT!",H.. A.. N.. A,336,2021-04-30T05:02:52Z,2021-04-30T05:02:52Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugzyjb0goTlj-l8ppul4AaABAg,ITZY pls start making songs like this Again😭,Tasnia Hossain,482,2023-05-07T12:42:11Z,2023-05-07T12:42:11Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyhqlAKaiXXwoFqmMl4AaABAg,LOVE THIS,Richie Mellark,6,2023-08-09T00:00:58Z,2023-08-09T00:00:58Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgxDQJ8z_aO0M08gaXt4AaABAg,"Perfect song for an ITZY opening act, especially with a live band.",Yin and Yang and In Between,4,2023-09-14T07:59:12Z,2023-09-14T07:59:12Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwamJaAAUE3prv2Xzd4AaABAg,Lia part's is my favorite 😻,Soyaaa Me_,5,2023-07-13T19:42:00Z,2023-07-13T19:42:00Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwIeJf5dTXG-iChNlJ4AaABAg,ITZY's choreo never disappoints me. It's literally fire,Choi Jisu,708,2021-05-03T13:09:31Z,2021-05-11T08:24:34Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugz3YT6mSDoSN_5HX8J4AaABAg,"if you’re still listening to this, we’re soulmates now.",kdicted,85,2023-07-14T08:23:53Z,2023-09-02T18:53:26Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugxx-X1F15uK31RWoDh4AaABAg,I will never get over their crown ending pose in every video/performance ICONIC QUEENS,Sam Mason,114,2023-03-23T09:59:44Z,2023-03-23T09:59:44Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugz4Ndx5x8EuE444iCx4AaABAg,Favourite Title Track of all time !! So good.,yoni . . ! 🦢,4,2023-07-22T20:38:11Z,2023-07-22T20:38:11Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgxhoLkheLixGhRnAMN4AaABAg,"This conceot really fits itzy.. Their looks, presence and voice suits songs like this. Wish they will have more songs like this again",Marie Anne Lim,1,2023-08-12T18:23:39Z,2023-08-12T18:23:39Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgzwsTA3mU9ckZ9pLop4AaABAg,THIS SONG WAS SO GOOD!!!!🔥🔥,Rosie Genelazo,2,2023-09-15T11:09:17Z,2023-09-15T11:09:17Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugz7ZtBuADTkRaiSFeB4AaABAg,"Yeji's :""I'm the Mafia""
Lia's : ""Who is the mafia (ending)""
Ryujin's : ""HAHA""
Chaeryoung's : ""nekoya, nekoya""
Yuna's ""ringdingdingding""

Every member has an iconic line!! Holy crap-
THIS IS EVERYONE'S ERA!!!!",Angel Rebortera,4200,2021-04-30T06:32:45Z,2021-04-30T06:32:45Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgxYxCA2MVOG5y0wI5t4AaABAg,"Esse mv merece mais stream,bora dar stream massivo e divulgar o mv para mais gente ver,vamos para esses 250M viens,4.5M likes é 515k comentários!",ROBERTH!,3,2023-10-02T23:59:08Z,2023-10-02T23:59:08Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugwvt4Mtf8pnp3noybh4AaABAg,They slayed so damen hard in this comeback,Yeji,2,2023-09-17T19:07:45Z,2023-09-17T19:07:45Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyYX17QJvid4xT8MPF4AaABAg,"I wish JYP would let Itzy explore more with this concept, they definitely slayed 💜",زيكوبو زيلدا,1,2023-08-18T23:11:17Z,2023-08-18T23:11:17Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugzkur1CplC8-npSuRl4AaABAg,This MV is so flawless,Camila Estefani,49,2023-06-24T12:39:17Z,2023-06-24T12:39:17Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwRAU_NE2V09B8boHZ4AaABAg,My favorite itzy concept,Jayym,5,2023-06-28T00:00:13Z,2023-06-28T00:00:13Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyuF2JwhP_DDSg0Tc54AaABAg,I'm literally obsessed with every single member of ITZY,itzy TUK,532,2021-07-04T12:53:58Z,2021-07-04T12:53:58Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugwd82Vrm3-OhHOLSd14AaABAg,MIDZYs need another BOP like this🔥,Luis Zelaya,226,2023-05-01T17:40:02Z,2023-05-01T17:43:07Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgzAgtRPtidQlJF__gJ4AaABAg,We always love Itzy forever,Luna S,1,2023-06-26T01:21:08Z,2023-06-26T01:21:08Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwZhtSSi1Vozr1bGQd4AaABAg,itzy's songs are really very pleasant to hear,see,1,2023-08-26T20:03:06Z,2023-08-26T20:03:06Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugw-qbFwwBXSWRSiblt4AaABAg,man I miss eras like this :(,seolyoon ,8,2023-08-03T17:34:50Z,2023-08-03T17:34:50Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgzHwibK697_RKH5mXt4AaABAg,My favorite song and performance!,cosmos,2,2023-05-12T23:54:19Z,2023-05-12T23:54:19Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwDNcecwkbPYyd9LBh4AaABAg,Still vibing to this. Yuna is my bias.,David Millard,5,2023-07-04T16:58:29Z,2023-07-04T16:58:29Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugz3d_icowHMVsk3-cp4AaABAg,"THE CONCEPT OF ITZY IS FROM ANOTHER LEVEL, each song of theirs is a bomb.",Josefa Martinez,847,2022-02-18T03:28:59Z,2022-02-18T03:28:59Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugwv17KehqY4Z4jWqsR4AaABAg,"I'm still listening this song in 2023
This Bop never gets old ✨️",jako,67,2023-07-21T20:40:43Z,2023-07-21T20:40:43Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwHac62AUr9zU90PfR4AaABAg,Itzy does dark/badass concepts best for example “In the morning” and “Cheshire” still my top 2 favorite itzy songs,Garo,10,2023-07-07T21:41:16Z,2023-07-07T21:41:16Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugx9C7bpUTzKfUQ7nc14AaABAg,I miss this era,Natalia Brunetti,7,2023-08-15T20:55:42Z,2023-08-15T20:55:42Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugwv91XobdJAzbp87lB4AaABAg,I want song like this for itzy next comeback,L,8,2023-08-18T13:04:21Z,2023-08-18T13:04:21Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgylCC5olxiskHa8OrB4AaABAg,"This song is really their best era yet. Itzy slayed! Now with their new comeback coming, I pray that the girls will continue to surprise me even more.",Chae,12,2023-07-08T14:33:20Z,2023-07-08T14:33:20Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugyv2gfdvaX34-Ri2414AaABAg,LIA HAS BRIDGE AND HER VOICE IS VERY BEAUTIFUL AND STRONG! I'M SO PROUD OF HER.,tilya,343,2021-04-30T05:55:03Z,2021-10-08T03:20:42Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyZhqYPJm_NQEQxjn94AaABAg,This song never get old .,Yeji,27,2023-03-18T08:21:56Z,2023-03-18T08:21:56Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyxXCvhUoSqOxI4CYh4AaABAg,This song from 2 years is still ✨ADDRACTIVE✨,Mervin Dizon,8,2023-08-21T06:01:29Z,2023-08-21T06:01:29Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgxSjApv_XSr_0tOk5t4AaABAg,"My favorite comeback from them!
It’s really cool song 
Ilove you itzy !",يـوري,22,2023-07-02T09:16:20Z,2023-07-02T09:16:20Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgzccGusIPZ8JfRL52d4AaABAg,uma das melhores mscs do itzy!,Lore Mendes,0,2023-07-03T00:37:57Z,2023-07-03T00:37:57Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugx123NEDx-APKf-qi54AaABAg,Love Itzy Forever,Luna S,2,2023-06-26T01:22:36Z,2023-06-26T01:22:36Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugx4tsYFGxUrYK8warF4AaABAg,no matter what anyone says itzy will remain one of the 4th gen leaders,Leoo,429,2022-02-08T13:08:11Z,2022-02-08T13:08:11Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyOciT-5pJg2rtg0PZ4AaABAg,這首真的永遠聽不膩！！太上癮了          (˶‾᷄ ⁻̫ ‾᷅˵),Home Future,38,2023-03-31T14:09:26Z,2023-03-31T14:09:38Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugy7ovLNeTRoEbmQSvp4AaABAg,I LOVE THIS❤️,NSWER & STAY (gretulinoo)🩵,6,2023-08-15T19:36:32Z,2023-08-15T19:36:32Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyVa07YdT4NnnAGS2h4AaABAg,1:20 I LOVE YUNAS PARTTTT AND  1:37 YEJIS PART OMG I LOVE IT AND LIAAAA 2:13 SO GOOD RYUJIN AND CHAERRYYY DID SO GOOD TOO ❤❤❤❤❤❤❤,BlinkyDinky,1,2023-08-18T03:15:37Z,2023-08-18T03:15:37Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugx8jL0HLBGu5LRiV-F4AaABAg,Me gusta mucho esta canción sin duda ..la oigo muchas veces y no me aburre 😊😊😊😊😊 gracias ITZY por estás canciones 🎉🎉🎉🎉🎉🎉🎉🎉🎉,Aracelys CasHer,5,2023-05-09T04:31:39Z,2023-05-09T04:31:39Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyKgbGQnZm9wV6UGkt4AaABAg,It's one of my favorite song of itzy,Vidhi Shakywar,12,2023-06-18T13:29:13Z,2023-06-18T13:29:13Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgzvuoZhxYlKYY14_n94AaABAg,OMG!!! THE RAP PARTS are KILLING US!!!!!,Nayma Nobi,442,2021-04-30T07:03:09Z,2022-02-15T05:54:30Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgzzxGThKKFXNCptQMF4AaABAg,One of my favorite itzy songs,Darya,1,2023-08-20T15:49:43Z,2023-08-20T15:49:43Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgxM6J4eA35_o5YSDvx4AaABAg,"Love this song, I’m on my streaming binge of all ITZY MVs at one seating…. MITM is a great song for a live stage performance…",Yin and Yang and In Between,9,2023-08-13T01:51:44Z,2023-08-13T01:51:44Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwJTkKZMflJnWyiQBt4AaABAg,Never bored with this mv and the music ❤,ism,7,2023-07-06T07:17:33Z,2023-07-06T07:17:33Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugy0kSuQ2bcJY-MzzTh4AaABAg,Still so catchy🔥🔝,multifandom universe💫 ,6,2023-05-25T01:15:18Z,2023-05-25T01:15:18Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugxgr0COK4DTWqvl7KZ4AaABAg,0:37 ❤❤ Lia's voice is soo beautiful,Jennie's CHANEL🔗,10,2023-07-07T12:23:55Z,2023-07-23T08:12:54Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyFr-ONyFCBIz9NoLF4AaABAg,We should give the girls what they deserve. They worked so hard for this come back so we should also do our best to repay their efforts.,Some Body,642,2021-04-30T13:30:29Z,2021-04-30T13:30:29Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugx4M8rGSy7korSVBFp4AaABAg,Itzy's visuals and dance performances are really great and gorgeous.,cosmos,2,2023-06-04T17:53:17Z,2023-06-04T17:53:17Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugw2GQ-DnsEcdedwPCp4AaABAg,"One of my favorite Itzy songs, that's for sure! Also:
- one of the best edited, the mv looks so cool and helps me feel the music even more, congrats to whoever did this!
- one of my fav choreos
- everyone has some memorable moments
I was wondering if I should call this is everyone's era but I think there are still two members that shined the most for me, Lia (the bridge is my favorite part) and Yuna <3",Hufflepuff,7,2023-05-25T09:08:07Z,2023-05-25T09:09:46Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugx-QlTGnrwaLl_As4V4AaABAg,"This song is absolutely fire. 🔥
""Wannabe"" and ""Mafia in the morning"" are still my favourite songs of Itzy! ✨🎶",RandomSophia_xxx,8,2023-09-15T18:44:08Z,2023-09-15T18:44:08Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgzhFAzJSc0ljV4u_TZ4AaABAg,My Fav song of them which made me into Midzy 💃❤️,deva dharshini,11,2023-07-16T16:19:37Z,2023-07-16T16:19:37Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugz5AiuJhB8ZsJsm9dl4AaABAg,"I still miss this era. 😢
The outfits every stage performances are killer! Not to mention the girl's live performances as well. Chef kiss! 😘",peek.a.boboo.,4,2023-07-17T11:57:07Z,2023-07-17T11:57:07Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugw3x8k4L7AK-jEVkvd4AaABAg,"it doesn’t matter if you’re a fan of *Itzy* or not, this song is *ICONIC*",itzy TUK,409,2021-05-31T03:56:15Z,2021-05-31T03:56:15Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgwRX4FUNb6bXe1ISRV4AaABAg,"still love this mv to bits. the transitions, the concept, the camera work, the creative direction. one of the best music videos in kpop imo!!",naive bean,37,2023-05-03T10:09:00Z,2023-05-03T10:09:00Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugx83prOVK641cbffe14AaABAg,I like their dance performance!!!!,cosmos,11,2023-02-13T10:00:38Z,2023-02-13T10:00:38Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugz56Tm-ZmHC2rfV5ed4AaABAg,"Yeji's part with the '' you'll never know '' , the dance of it is so addictive",itzy_lia,0,2023-09-28T09:43:02Z,2023-09-28T09:43:14Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgzLFyPbKb3OXJ3awWR4AaABAg,"They are really great.....
❤YEJI❤
❤RYUJIN❤
❤LIA❤
❤YUNA❤
❤CHEARYUNG❤",Nusrat Onanna,10,2023-04-10T07:03:19Z,2023-04-10T07:03:19Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgxpuUN3xZS8WX70mfB4AaABAg,"I love doing the choreography for this song, it's so fun!",IAMB_4U,1,2023-06-15T03:00:44Z,2023-06-15T03:00:44Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgzDm0_V_7Nel_6aoN54AaABAg,why’s no one talking about how amazing lia is doing i’m so proud of her,layal,725,2021-05-05T22:08:41Z,2021-05-05T22:08:41Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",UgyZnbCa1WQeUsaUH7x4AaABAg,MITM performances are always fire!,cosmos,10,2023-05-26T18:15:37Z,2023-05-26T18:15:37Z
_ysomCGaZLw,"ITZY ""마.피.아. In the morning"" M/V @ITZY",Ugw2tVbKjVT23kMcTEx4AaABAg,I will never stop loving you itzy,Hélia Santos,30,2023-06-24T21:07:25Z,2023-06-24T21:07:25Z
