videoId,title,parentId,textDisplay,authorChannelId,authorDisplayName,likeCount,publishedAt,updatedAt
MjCZfZfucEc,ITZY “LOCO” M/V @ITZY,UgyEj26xoKWUpR9AWLZ4AaABAg,I been crazy in love with ITZY! Let’s get it!,UCFdAdgyV43x3OolPd8RQUig,BRISxLIFE,28724,2021-09-24T01:21:26Z,2021-09-24T01:21:26Z
MjCZfZfucEc,ITZY “LOCO” M/V @ITZY,UgykIrfapU5Q-4SkKS14AaABAg,two years being passed and still fresh and catchy,UCGZQrMR_Ik7kkqKWQspTeVw,an,1273,2023-08-02T20:41:16Z,2023-08-02T20:41:16Z
MjCZfZfucEc,ITZY “LOCO” M/V @ITZY,Ugytay5j9cOZ57i-giZ4AaABAg,Jyp deberia darle más comebacks asi son realmente muy buenas estas canciones.,UCuDnkoca4ijaB-p1rQS5fyQ,🖤Blink🖤,27,2023-10-11T18:55:32Z,2023-10-11T18:55:32Z
MjCZfZfucEc,ITZY “LOCO” M/V @ITZY,UgyijoaFKU5coMYSwLR4AaABAg,246! Give this masterpiece 250M! Come on Midzys,UCwmJFXxN6tAURuxRWGJMVYQ,Martha Mariani,7,2023-09-25T02:47:52Z,2023-09-25T02:47:52Z
MjCZfZfucEc,ITZY “LOCO” M/V @ITZY,Ugzu3RYPrT9tKbgGqYl4AaABAg,"Almost two years have passed but i’m still crazy in love with this masterpiece❤️‍🔥
Tell me i’m not the only one 
👇🏻",UCkFzRGYe8loKvtQ4xY7FhXw,isa💘,834,2023-07-09T13:15:22Z,2023-07-09T13:16:36Z
MjCZfZfucEc,ITZY “LOCO” M/V @ITZY,UgwF1ZpmzgqHL3Kdl614AaABAg,"it’s been 2years and I can still say this is my fave itzy song ever,nothing can top this masterpiece",UCOLyd0j6zPnvNfmJIkzUKkQ,JassyWazzy,147,2023-09-24T05:19:42Z,2023-09-24T05:19:42Z
MjCZfZfucEc,ITZY “LOCO” M/V @ITZY,Ugx0kI8QxtGDjs1IT3h4AaABAg,Such catchy moves!,UCh9o08eUSNWTacXJqTTtbXA,STEEZY,4183,2021-09-24T22:22:05Z,2021-09-24T22:22:05Z
MjCZfZfucEc,ITZY “LOCO” M/V @ITZY,UgxPyPtt0MrhPWqDDSJ4AaABAg,"Yejis vocals slayed this whole comeback, Lia's so dangerous so dangerous so ""addractive"" till this day",UC9HhnwUzE9syVVONBmFpLSA,Giulia Thais,586,2023-06-11T21:52:09Z,2023-06-11T21:52:09Z
MjCZfZfucEc,ITZY “LOCO” M/V @ITZY,UgwyfK66rWsM_CCyslp4AaABAg,This song is so good I'm crying😭😭,UCHz_lrBUa-82XaTLFNp62eQ,Michelle,3,2023-10-01T10:03:36Z,2023-10-01T10:03:36Z
MjCZfZfucEc,ITZY “LOCO” M/V @ITZY,UgwbFmsauGYmCMVzTvx4AaABAg,"O itzy são as it girls da 4º geração sim , 2021 melhor era pro itzy 💓,época que a JYP não tinha esquecido elas no porão !!!

Edit ; VOLTA OS DANCE BREAKS EU PRECISOOO,esse finalzinho maravilhosO",UCNOE8aTHsN2R2mecr8ZMvPw,sofia,8,2023-09-11T14:26:52Z,2023-09-11T14:29:20Z
