videoId,title,parentId,textDisplay,authorChannelId,authorDisplayName,likeCount,publishedAt,updatedAt
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],UgwjJcSgls9ueQ61vTR4AaABAg,This is probably got to be the best English version of all their songs. The lyrics are on point and still pretty similar to the Korean translation.,UCycw9ynPQ9Bvy2mvYnfHMxA,Rocky Pura,4792,2021-09-24T15:37:35Z,2021-09-24T15:52:18Z
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],UgxSOOZ-6p7NuNjHvlZ4AaABAg,"In my opinion, this is more strong, sassy and playful than the Korean version. If this will be promoted in the western market, it'll be a hit.",UCOTOZ_uPT9Qgc8AWKaS_VnQ,Maria Graciella,4776,2021-09-24T12:24:45Z,2021-09-24T12:24:45Z
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],UgyYMrgNe-arKR1oA1d4AaABAg,"Imo, this has to be their best English version yet!! It sounds so good and is pretty close to the Korean version!! 😭",UCOnt0HAqRXS5LG7MnNBE9xQ,Vanessa G,8404,2021-09-24T05:18:21Z,2021-09-24T05:18:21Z
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],UgwIgLvpgXidGuUNkaF4AaABAg,This is one of the best English versions of any Kpop songs I've ever listened to. It doesn't sound forced. Now I equally love both the Korean (original) version and this.,UC-w-fW8xOGMEebdjkuTbnZg,pia,2394,2021-09-25T06:27:05Z,2021-09-25T06:27:05Z
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],Ugx3Hg_xNOMgIgQe_nd4AaABAg,"At this point Itzy members are basically fluent in English, Lia taught them well. These lyrics are so good",UC_ccDkw6hAWBYssGRPzK_BQ,Miamichelle Abad,1759,2021-09-25T00:59:46Z,2021-09-25T00:59:46Z
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],UgwJyIkvV4ht5l9pikt4AaABAg,anyone else loves lias “so dangerous” or is it js me,UCJVb4ojM_k5bMKNQp3YCldQ,weird,4173,2021-09-24T06:44:12Z,2021-09-24T06:44:12Z
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],UgwJRY8wfF3jE0Peiix4AaABAg,"Yeji in 2019 : ""don't judge me from your standard""
Yeji in 2021 : ""sos for this kitty"" ""oasis for this kitty""",UCXZ45iyP00CGxqkRskkGNAg,deka d,6787,2021-09-24T06:17:13Z,2021-09-24T06:17:13Z
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],UgzKb2EiAGpEuzm7DfN4AaABAg,SOS for this kitty fresh like rain when I'm thirsty. Yeji rap part supremacy🛐,UCNROG4UUK2dpdCQPSok234A,i choked myself with itzy light ring,5106,2021-09-24T05:21:54Z,2021-09-24T05:21:54Z
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],UgxUvYacCSCMwKV7zVN4AaABAg,"This is....
Yeji’s Era
Lia’s Era
Ryujin’s Era 
Chaeryeong’s Era 
And Yuna’s Era",UCIt-VMPVKHw4xfpI_5yNz_g,KYR,984,2021-09-24T04:43:25Z,2021-09-24T04:43:25Z
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],UgxSM63l9KW2KF4eoGZ4AaABAg,Anyone else noticed that yeji's voice becomes a lil deeper when she sings in English I'm dying for it 🖤✨,UCoA7f5p3S-TbcAA09fJYELQ,Jeongukie,737,2021-10-08T20:57:06Z,2021-10-08T20:57:06Z
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],UgxuPccX-z-n3cA0dOl4AaABAg,*Both version of LOCO just masterpiece!!*,UCza261yViUTM4ApaFLLgDlw,amirun haikal,766,2021-09-24T04:43:54Z,2021-09-24T04:43:54Z
QnpFfi1kwf4,ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],Ugw46bl0ehf5SV3fxzV4AaABAg,I'm actually loving this ver more than the Korean one,UCcMKCanPB2LOn46DRm9mnKQ,raey,541,2021-09-24T14:42:18Z,2021-09-24T14:42:18Z
