videoId,title,commentId,textDisplay,authorDisplayName,likeCount,publishedAt,updatedAt
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgxRx0A9Gr79fukkvs14AaABAg,1:58 yeji’s voice is so deep,𝑠𝑢𝑛𝑔ℎ𝑜𝑜𝑛 ⌁.𖧧 ๑՞⋆,2319,2021-05-17T14:56:53Z,2021-05-17T14:56:53Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgzjcYAQgOUOJF1R3TF4AaABAg,Chaeryeong’s vocals are a perfect mix of sweet and confident at the same time,liar liar,872,2021-10-21T18:05:23Z,2021-10-21T18:05:23Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgzafpG4xFxy5y5kpJl4AaABAg,"Who else noticed that Ryujin and Lia did a Korean-style acrostic poem of ""MAFIA"" in the bridge? 

(Ma) machimnae 
(Pi) pihal su eomneun 
(A) achimi wa

This song is filled with cultural references!",Jus Jardiolin,3996,2021-05-04T23:30:05Z,2021-05-04T23:30:05Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgwbREOilrLO6EsvrNR4AaABAg,1:52 lias singing the whole time is literally amazing,Kimv,631,2021-06-22T18:50:48Z,2021-06-22T18:50:48Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgzbTNhGCxm0JMdTbkt4AaABAg,They should play this song whenever an idol group plays Mafia.,ryssspieces,15833,2021-04-30T04:15:33Z,2021-06-04T15:33:16Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgwtO7HdPgvFa1aTp6x4AaABAg,0:36 i'm obsessed with this part❤,ԀѧṅıєʟʟєṃєяѧʟԀ,328,2021-07-25T11:14:42Z,2021-07-25T11:14:42Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgwYnJVXxM8DOW1_W594AaABAg,"DALLA DALLA: BREAKING BACKS
ICY: BREAKING NECKS
WANNABE: BREAKING SOULDER
NOT SHY: BREAKING LEGS
MAFIA IN THE MORNING: BREAKING EVERYTING FOR REAL
ITZY: BREAKING RECORDS
MIDZY: BREAKING REPLAY BUTTON",Santiago Calderón,5039,2021-04-30T04:15:15Z,2021-04-30T04:15:15Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgwANUd1vqy0wLnlbGN4AaABAg,LIA ON THE BRIDGE IS AMAZING,halsey,4990,2021-04-30T04:41:18Z,2021-04-30T04:41:18Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgxSjvKd-h0jKOI9nR94AaABAg,"Yeji's ""I'm the Mafia"" is so addictive",asahiyawh,254,2021-11-02T13:21:21Z,2021-11-02T13:21:21Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),Ugzni3r3k13aEKAPyV94AaABAg,2:13 this part is so familiar and so good omg,Châu Bảo,221,2021-05-10T09:53:32Z,2021-05-10T09:53:32Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgzqE8rmcKHWbxZOyyp4AaABAg,"Idk but yeji’s “im the mafia” sounds satisfying and addictive 
1:59",moagay,661,2021-06-08T08:09:29Z,2021-06-11T23:26:41Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgyedNWAaMDx5zTc4bB4AaABAg,Am I the only one obsessed with Yuna’s “RING DING DING DING DING DING”,Yu Min,7832,2021-05-09T12:30:25Z,2021-05-09T12:30:25Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),Ugypm5Nj9AuveM4YV8d4AaABAg,"Hwang Yeji(황예지)
Leader, Main dancer, Lead Vocalist, Rapper

Choi Jisu(최지수)
Main Vocalist, Rapper

Shin Ryujin(신류진)
Center, Main Rapper, Lead Dancer Vocalist

Lee Chaeryeong(이채영) 
Main dancer, Lead Vocalist, Rapper

Shin Yuna(신윤아) 
Visual, Maknae, Lead Rapper, Lead Dancer, Vocalist

Vocal Line
Lia, Yeji, Chaeryeong

Dance Line
Chaeryeong, Yeji, Ryujin, Yuna

Rap line
Ryujin, Yuna, Chaeryeong, Yeji, Lia",Patricio Binuya Jr,646,2021-04-30T05:05:43Z,2021-04-30T05:06:53Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgzzVdkP88SXF_mKVk54AaABAg,lia’s vocals is so good. her tone is just amazing,aubrey,169,2021-04-30T05:15:43Z,2021-04-30T05:15:43Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgzMtGqHwPcTfVlY_2d4AaABAg,ok but Lia’s “sieunmnida” is so satisfying,Crêpes🌸,8208,2021-05-04T16:50:52Z,2021-05-04T16:50:52Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgxfeKcDV6KGg46X5mN4AaABAg,im addicted to yeji's deep voice 😱,imyourjie,170,2021-05-19T06:43:41Z,2021-05-19T06:56:12Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgysaIQ8rC-P1XfSZ154AaABAg,Lia's voice is so stable and powerful. Love it.,Sei Diaries,66,2021-05-02T09:29:26Z,2021-05-02T09:29:26Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgwHUKP2pEVJJuy0NyV4AaABAg,"2:19 I just noticed that this is actually like an acrostic poem of Mafia or Ma-fi-a (마-피-아). Which is probably why Ryujin emphasizes the first syllables of Lia's parts (Ma, Fi or Pi, and A).",tien 🧃,98,2021-10-19T06:31:08Z,2021-10-19T06:31:17Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgxGLpPIQJOFtOPe0Ah4AaABAg,"ITZY: “go listen to our song In the-

Jaeguchi: “Lyrics are done 😌”

ITZY: wEdIdNtEvEnPoStIt",Kermit The Oger,5102,2021-04-30T04:18:34Z,2021-04-30T04:18:34Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgxntKMd-4gyXcW2VZ14AaABAg,Yuna honestly shined a lot in this comeback... powerful maknae.her rap.!!,Lalisa_mano_banned,75,2021-04-30T04:24:07Z,2021-04-30T04:24:16Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgwA0_MLaeGhJPngm0N4AaABAg,Popular Opinion: This Song is a Masterpiece,Santiago Calderón,639,2021-04-30T04:15:50Z,2021-04-30T04:15:50Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),Ugw-wAf_rRYegOpP4a54AaABAg,"2:26  am i the only one or ryujin's ""I'm the mafia"" sounds so expensive",katsu,2039,2021-07-04T13:48:07Z,2021-07-05T03:25:28Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgzTeq-C97JyLMDEsux4AaABAg,I LOVE when Yuna “says you are gonna love me” Especially the Love part her voice is so attractive at that part! And when Lia sung “Hetgallyeo Hetgallyeo” and when she said “finally finally” UH I swear itzy is the best 4th gen group in my opinion.,Kim Namjoon,52,2021-07-03T12:03:35Z,2021-07-03T12:05:47Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgzhyGUhL8xlPYwPmqF4AaABAg,"Line Distribution 
Ryujin - 32.84 (Ay adlibs at her and Yuna’s rap in the chorus and ma, pi, a vocals in the bridge)
Yuna - 29.05 (Shh in the intro)
Lia - 25.77
Yeji - 22.77
Chaeryeong - 22.52
Difference - 10.32",Khandaker Tabassum,3,2023-06-03T06:00:59Z,2023-06-03T06:00:59Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgyQIYlycGPah-XDnKt4AaABAg,Lia's deep voice is to die for,ruby jane,164,2021-04-30T05:14:34Z,2021-04-30T05:14:34Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgyWlt6CpIHwxLWOUYV4AaABAg,Chaeryeong’s and Lia’s part “Ije finally finally finally” is so catchyyyyyy!!,Sovan Natey,34,2021-04-30T04:51:28Z,2021-04-30T04:51:28Z
XZvUnqvspxk,ITZY - MAFIA In the morning Lyrics (있지 마.피.아. In the morning 가사) (Color Coded Lyrics),UgwRgTnm98cUplzignZ4AaABAg,I love Yeji's part at 1:32.,Salazar,16,2021-11-24T12:43:57Z,2021-11-24T12:43:57Z
