videoId,title,parentId,textDisplay,authorChannelId,authorDisplayName,likeCount,publishedAt,updatedAt
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgwfLebSMY1xIcnHMFt4AaABAg,"Yeji is such an amazing all rounder. She can slay with  her powerful dance, she has good flow as a rapper and has stable vocals.",UCGjySZGZYz4PIlSvUHMmvVA,Raashi,8336,2021-09-24T05:10:08Z,2021-09-24T08:36:10Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgyNp2nNcAPyeQ8UOPZ4AaABAg,Hwang Yeji owned this era and no one can change my mind. Look at her shining!!!,UCP3NwIQk7Q8eb_92YVc8ffw,Lay Kim,3589,2021-09-24T05:00:40Z,2021-09-24T05:00:40Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgxTa5kzUNTIqL5QsI94AaABAg,I’m in love with yeji’s sos kitty part like- I just love it!!!,UCS4t-0tg7fXkVWyVraZ6iIg,SincerelySana,7462,2021-09-24T04:45:16Z,2021-09-24T04:45:16Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgwvOvVLt2408idvpPF4AaABAg,*Yeji vocals in this comeback really shook me! She really got such a wide range and versatility! Our ace indeed!*,UC9RGhutcEyIP5NBXvNmSj9A,Talk Much,1487,2021-09-24T06:01:05Z,2021-09-24T06:02:21Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgwausRRZtyWt97P6b94AaABAg,Now you have to be the producer for each group cause there’s no way you just make lyrics RIGHT AFTER their MVs come out 😭,UC_NHa7PTZ-0ZY_cHPUVibYw,minhihee,1977,2021-09-24T04:22:07Z,2021-09-24T04:23:14Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgzZ9QPKoQ-c1r-yLTN4AaABAg,Okay but can we just take a moment to realise how Lia looks like she is looking at Yeji.,UC7xwdhJlOJntF0fMr1dwidA,Luna Langford,3169,2021-09-24T08:15:48Z,2021-09-24T08:15:48Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugzx9SWXDLaWEVP7XIZ4AaABAg,"Yuna and Yeji owned this comeback.

And the song is fire 🔥🔥🔥",UCq0JEMxc1pZ35pxx16JAl8g,kugeo,1680,2021-09-24T04:21:57Z,2021-09-24T04:22:20Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgzNwW_UoO1-49rP4wB4AaABAg,this doesn't even take an hour and I'm already learning it woww this song is catchy ♡,UCJfh4vLujH0zuSnOdoklcaA,chaeyo.0,4460,2021-09-24T04:23:49Z,2021-09-24T04:23:49Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugx59Tw3dTfTPH8ZBqB4AaABAg,"Lia's-so dangerous so,so dangerous is so addictive",UCQBYmxJ5coBXZChoI-WYTzQ,akali muru,10340,2021-09-24T04:40:35Z,2021-09-24T04:40:35Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgytqMpOgnRxwK8oRcZ4AaABAg,"yeji's vocal is sooooo crazyyy even tho im chaeryeong biased i believe yeji really deserve all the lines here, she's the only one who can deliver emotions through vocals this much",UC1PI9YGgdoCGJL75o2CVpxg,Aurora Sel,891,2021-09-24T04:52:19Z,2021-09-24T04:52:19Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgxmcUlTozNszbTnAQR4AaABAg,I can not get over Yeji’s kitty line it’s sounds so satisfying and cool at the same time. Her vocals have been pretty different in each of their title tracks n I love it,UC2AiLesM4hmvH9u4uoz8hPA,Majestic Suicune,96,2021-09-30T00:35:49Z,2021-09-30T00:35:49Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgwStS5v6XMcAhKJOA94AaABAg,"OK I JUST WANT TO SAY THAT I ADDICTED WITH YEJI POWERFUL VOCAL,HER UNIQUE VISUAL,HER POWERFUL DANCE AND RAP PART WITH RYUJIN + HER DEEP VOICE. 🔥👑🥰",UCHmOYAY7gztGDZwKOOZKL-g,NTJ_Ent,334,2021-09-24T05:42:51Z,2021-09-24T05:42:51Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgzREXCuDsAhAAwp5q94AaABAg,I think we can all agree that ITZY really surprised us with this comeback 🔥,UCzn7lvQQ2RK6gFykhGduq4Q,Travis,389,2021-09-24T04:23:45Z,2021-09-24T04:23:45Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgzuuktYgggfgtJi6fB4AaABAg,"Everyone: ""This is the worst year ever""
ITZY: ""Sorry but not for us""

STAN ITZY FOR BETTER LIFE!",UC2D7b3gaYlAijdB_vPwecEg,STAN,427,2021-09-24T04:24:04Z,2021-09-24T04:24:04Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgzxuAuAkD7lp0GLOvp4AaABAg,02:39 HWANG YEJI !!!!! JUST WOW !!! THOSE VOCALS.. HER VOICE IS THE BEST BEST BEST.. she FELT the line !!!!!,UCYt4mW5VXivjcm21epAviqg,SAFAE 🪞,145,2021-09-26T00:02:17Z,2021-09-26T00:02:17Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgysSEprDs3YCv1CLAd4AaABAg,"2:14 Ryujin's LOCO part
1:28 lia's so dangerous so so so dangerous part
1:38 yeji's oasis kitty part
And 1:51 CRAY CRAY CRAZY in love part

It's highly addictive ✨

Atleast for me🦋",UC02EjuWCiAhVERUSQ9-HwSg,kishh,60,2021-10-07T12:11:50Z,2021-10-07T12:20:29Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgzNAdLMDzqEhlDTC414AaABAg,This comeback got me so hyped!! The chorus and pre-chorus is so addictive,UCCrAoz9Ou8cLNpN6w4qcnCw,cherruxie,204,2021-09-24T04:47:13Z,2021-09-24T04:47:13Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugxwc5tTtqv0u0hzMaB4AaABAg,Not a fan of Itzy but this song is extremely addictive.,UCWScDGBiIRrdLxndDL5wHfA,hollunderkerze,26,2022-08-01T05:36:04Z,2022-08-01T05:36:04Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgyHY0iyi3kikB4Cs3l4AaABAg,"yeji owns this era, but seriously i wish yuna had more lines:(",UCZmxUFk0zMyoA3732IdIuYw,xo,780,2021-09-24T05:41:14Z,2021-09-24T05:41:14Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugy_IrBbfs6Hw461OVN4AaABAg,"Everyone did amazing, but CHAERYEONG OMG HER VOCALS!",UCPEEy90sOVytfAusN97PRGw,Aeri,2,2023-08-04T23:22:15Z,2023-08-04T23:22:54Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugxwhfi8Z6_dGHV7WV54AaABAg,"ITZY always surprise us with the best.
It's a masterpiece song.",UCp4QFMQHwrsRDy8QEGGMmgA,Messi fan 💗,212,2021-09-24T04:26:58Z,2021-09-24T04:26:58Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgxNGvCH4ZAlAAAwxgB4AaABAg,I love ryujin and yeji’s vocals oh my god,UCCnWbNnr5dT1Nwfz2H0o0QA,stankybeta77,155,2021-09-24T06:43:11Z,2021-09-24T06:43:11Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugxr4zLtX5_x9fZfWDd4AaABAg,"Chaeryeong es tan hermosa.
Y en lo particular creo que fue su era aunque no tuvo muchas lineas destaco bastante y se pudo destacar su gran talento",UC_NUeWNXPrMqshweabel-XA,EN-💞},51,2021-09-25T23:04:50Z,2021-09-25T23:04:50Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgxHNWeqCdHmGCjLu6J4AaABAg,ryunjin and lia's voice is literally giving me chills like damn..!!,UCjVcvYgUVqD3M3GKwiSKRsg,skzSTAY btsBULLETPROOF together,54,2021-09-24T20:12:23Z,2021-09-24T20:12:23Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugxkgj8qgo1uJRxWWwx4AaABAg,"Yeji's ""cray -cray-crazy in love"" is really addictive 😍",UCGldxOoJLyc2ic6okbhN7ZA,Gowri,43,2021-10-14T13:30:44Z,2021-10-14T13:30:44Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgxkNLC9U8tC5J2Goxd4AaABAg,Yeji saying *loco* is just addictive ♥️😘 this song is fantastic ❤️,UCa1-Ar4aqA9Zx-YEICGd4iA,Pick touch__,39,2021-09-24T11:00:26Z,2021-09-24T11:00:26Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgzHhaLmnT4vS-C_dTl4AaABAg,Fun fact : everyone is happy for ITZY comeback.,UCp4QFMQHwrsRDy8QEGGMmgA,Messi fan 💗,631,2021-09-24T04:22:49Z,2021-09-24T04:22:49Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgyVZr3BTzikCaA4rTl4AaABAg,Lia’s voice is so unique love her parts,UC-5hyMln6aCi_s8C-ToiW_A,Zafeera Naim,22,2021-10-12T08:48:04Z,2021-10-12T08:48:04Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugxv0DvSPVaqMsttudR4AaABAg,YEJI’s voices is the best and the way she carried those high chorus !!!!!,UCYt4mW5VXivjcm21epAviqg,SAFAE 🪞,60,2021-09-25T23:50:40Z,2021-09-25T23:50:40Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugzgx9NZzAviHVjPy2l4AaABAg,The power ITZY hold in this comeback is just so amazing. How can we not love these girls? THEY ARE MORE THAN A QUEEN!,UCvC7_8uYxI6otAZdQhKb3EQ,VIE,22,2021-09-24T04:58:20Z,2021-09-24T04:58:20Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgyheytTGqbHgS_Y6fJ4AaABAg,"2:16 the flute/violin like sound in the background is so addictive, i love it.",UCzCvn0bBg7JPgHcuCuGqGSw,Minnow,19,2021-10-31T20:24:25Z,2021-10-31T20:24:25Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgwyLOej6uGsnXmUn5Z4AaABAg,Yeji part in 2:36 is so addictive At studio choom ryujin face expression fit perfectly before yeji part in 2:36 Lia so dangerous so so so dangerous is addictive even the chorus and I'm like Yuna clothes in the music video so much I'm also like chaeryoung clothes and part in the music video also everything about them is amazing,UCP1fELPN8krpT01o8XnJlrQ,Sarah💖Lovely,13,2021-09-29T15:49:21Z,2021-09-29T15:49:21Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugzskns-MnmnulqiQ0h4AaABAg,"I wish that Chaeryeong could have more lines because I really like her voice 🥺 
But still this comeback is sooo good, I'm in love ✨",UCuN8sfY79PEqWVsU2Uz7ZIQ,Katie G,19,2021-10-01T12:19:54Z,2021-10-01T12:19:54Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgxgaVoalR1v5qYqy854AaABAg,i just started stanning them not even 5 days ago and im already obsessed with how good they sound,UC3OlltpOZXidIFiIrbhovXg,Shardae,10,2021-10-13T17:29:34Z,2021-12-06T03:51:34Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgxSyHHBYm46lABDlmd4AaABAg,"minhas meninas arrasaram nesse comeback, tô morrendo de saudades já",UCkSJdDsJjFwGYcHskzAzP0Q,bea,2,2022-06-01T21:46:41Z,2022-06-01T21:46:41Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugz-QW7okl_j2ltiI7Z4AaABAg,"I already bought the album "" Crazy in love"" and it's sold out almost everywhere🥳❤️🤭",UCniMhAtKfWcPQp7GOEbFwIQ,Sophie,132,2021-09-24T04:33:48Z,2021-09-24T04:33:48Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugy4LEhjK9meyGj6B994AaABAg,EU AMEII♥️♥️♥️,UCfVDCDoplLl7xjp74NKrylQ,K I M,8,2021-09-24T04:22:06Z,2021-09-24T04:22:06Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgyON4EgL-GXV05Wtcx4AaABAg,YEJI's vocal so power💥💥💥💯,UCgLNWAAlYFGBuYwNLHeMKKA,Elena Alex,74,2021-09-24T05:01:43Z,2021-09-24T05:01:43Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugy1TOxxcC7ltX9ZIxl4AaABAg,I love the end with the clapping its addictive for some reason,UCidKurWPijHDh-8T776w2dQ,Danijela Matkovic,1,2023-07-20T08:15:11Z,2023-07-20T08:15:11Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),UgxYemBO415bsk1ynY54AaABAg,Ryujin and chaeryeong voice is amazing,UCso5WmNx_QIeSVY0nEpTEqw,♡DelfinMavi♡,5,2022-05-18T13:38:01Z,2022-05-18T13:38:01Z
YfjWM50PHGI,ITZY LOCO Lyrics (잇지 LOCO 가사) (Color Coded Lyrics),Ugw7f7ACqQZAGKcKlFl4AaABAg,Es hermosa canción,UCvH2EXbCHFeKTxLGPdHZC8w,Nahiara Rotela,6,2021-10-13T16:28:38Z,2021-10-13T16:28:38Z
