videoId,title,parentId,textDisplay,authorChannelId,authorDisplayName,likeCount,publishedAt,updatedAt
fE2h3lGlOsk,"ITZY ""WANNABE"" M/V @ITZY",Ugx-wuhXeL3FvpKcFEN4AaABAg,Fun fact:This song never gets old...,UC6Z4ZvMzGvjo7ZBYDkE8mGA,g♤.əß,10006,2021-02-14T12:50:28Z,2021-02-14T12:50:28Z
fE2h3lGlOsk,"ITZY ""WANNABE"" M/V @ITZY",UgxbeewmRRObe-S1nPd4AaABAg,Ryunjin’s shoulder dance was one of the most iconic dance  move in K-Pop History,UCzak-B72MiAiKICXc5OCZcg,Karrrrrr,689,2023-08-06T16:22:48Z,2023-08-08T14:16:13Z
fE2h3lGlOsk,"ITZY ""WANNABE"" M/V @ITZY",Ugw-rLDbo9BgRqyv05F4AaABAg,"Everyday I come back to this MV because it's just so iconic
I'm coming back to rewatch this mv everytime i get a new like because I'll get reminded",UCXCekj7jRtLEQ8QRXUEKD-Q,kyoko ,866,2023-07-31T12:25:09Z,2023-10-23T17:00:01Z
fE2h3lGlOsk,"ITZY ""WANNABE"" M/V @ITZY",UgygpFJCEogQSD1M7-t4AaABAg,"Who is listening to this song in 2023, raise your hand ✋",UCi59xmTFd1Ptduy3NYC_Vbw,지훈~Ji-Hun~지훈,1238,2023-09-28T17:47:52Z,2023-09-28T17:47:52Z
fE2h3lGlOsk,"ITZY ""WANNABE"" M/V @ITZY",UgzdqtMdHKDecbKXk1N4AaABAg,"Itzy is just iconic. Like imagine releasing this. The song, lyrics, choreo, dance break, visuals, outfits, sets, etc. insane! 

Wannabe is forever iconic.",UCiI76UoeWNHepWnk28dcItA,Xxhyeem,50,2023-08-27T21:13:46Z,2023-08-27T21:13:46Z
fE2h3lGlOsk,"ITZY ""WANNABE"" M/V @ITZY",Ugx6NnslwUypfL0iTgt4AaABAg,"1st 4th gen group to hit half a billion !!! Cong, MY QUEEN ITZY",UCsudkLStTETtB41IbPe6DoQ,loveLia,83,2023-10-02T19:10:12Z,2023-10-02T19:10:12Z
fE2h3lGlOsk,"ITZY ""WANNABE"" M/V @ITZY",Ugz7e5DCHqQRQC1xVn54AaABAg,ITZY DESERVES. MAKE IT 500M SOON,UCxVxCc2WP97ChJ303wBcX5Q,Dita L,1733,2022-12-01T18:35:54Z,2022-12-01T18:36:00Z
fE2h3lGlOsk,"ITZY ""WANNABE"" M/V @ITZY",UgykE4m_CpUsOC8KiQ54AaABAg,"To tell the truth, I wasn't quite a fan of ITZY before this song, but now I realized that they are really talented bravo go ahead girls
🔥🔥💎💎💎💎💎💎🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥",UCWvcitcavrZhkw5xWgQn5Kg,lisa fiets,82,2023-07-22T15:13:52Z,2023-07-22T15:13:52Z
fE2h3lGlOsk,"ITZY ""WANNABE"" M/V @ITZY",Ugx-MPv8kBuQxr7T3aN4AaABAg,Best song of itzy I can't stop streaming,UCZGVfrRRemkcnvxNw-8GCTQ,youtuber,10,2023-09-09T07:21:49Z,2023-09-09T07:21:49Z
fE2h3lGlOsk,"ITZY ""WANNABE"" M/V @ITZY",Ugwg1G2-MdIAI32cdhF4AaABAg,"My fav song in kpop and my fav female group at all. Thank you, Itzy!",UC_WHg9QMCVa_IcTv62_AR-Q,Flarinxi,30,2023-10-26T16:32:14Z,2023-10-26T16:32:14Z
fE2h3lGlOsk,"ITZY ""WANNABE"" M/V @ITZY",UgxZIEpHagszgq6xg0J4AaABAg,I watched Itzy perform this live yesterday! CRAZYYYYYYYY STAGE PRESENCE!!!,UCYS3HWWWIb25_bqQwSQzBvw,Leslie,35,2023-10-24T00:28:50Z,2023-10-24T00:28:50Z
