videoId,title,parentId,textDisplay,authorChannelId,authorDisplayName,likeCount,publishedAt,updatedAt
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),Ugzq5tvxAa2egYfiFTl4AaABAg,"I love how all members has a *CHORUS PART, LIA* having mini rap parts ( as should be), *CHAE* having more Vocal parts ( she deserves to be in the vocal line) and of course I love how fast *Jaeguchi* doing the lyrics",UCW3HH_SfqnSZiC_5fnBZhkg,TWICENOPHILE,1491,2022-07-15T04:31:01Z,2022-07-15T04:47:47Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),UgwrXHMW-cHyceOkj9V4AaABAg,I love sneakers. It’s actually addicting I don’t see why stans drag it. It’s genuinely so good. Sneakers was SOTY.,UCiI76UoeWNHepWnk28dcItA,Xxhyeem,22,2023-01-30T01:34:46Z,2023-01-30T01:34:46Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),UgxyWRLXP0eqLNzTaHR4AaABAg,I LOVE THIS COMEBACK THEY ALL SLAYED!!!,UCUMpUZbpkrFPLO15FrfrMOg,Nash Ezher Gerna,648,2022-07-15T04:27:37Z,2022-07-15T04:27:37Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),Ugz8MtheOK76lOMFC3B4AaABAg,omg finally chaeryeong get many lines. i'm crying😭,UCmUcvgM_0XqMY8_YGuVC0Ig,Tito Saputra,613,2022-07-15T04:35:30Z,2022-07-15T04:35:30Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),UgyV6_qm0LbTUPnSg3p4AaABAg,"As always ITZY dazzle us with their voices, dancing and everything they are really amazing 😭❤️",UC67oVssZFjCHnbXWLR2EdDA,urfav_vero,178,2022-07-15T04:28:58Z,2022-07-15T04:28:58Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),Ugyx2h-0TzE0XwNVF_V4AaABAg,"Line distribution
Chaeryeong:34 seconds
Yeji:32 seconds
Lia:28 seconds
Yuna:26 seconds
Ryujin:23 seconds
I'M SO HAPPY MY BIAS CHAER GETS FIRST IN A TITLE TRACK😭❤️",UCqEBSw0tHnklf3_4uYT3cMw,Riyung,154,2022-07-15T05:17:00Z,2022-07-15T05:52:02Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),UgxG4LVz9JHunLDJmAV4AaABAg,2:09 yuna’s vocals😭😭😭 literally goosebumps. I’m so proud of her,UCGacuJwdKsfR4P18gVmuX0g,O’there,63,2022-07-15T07:40:03Z,2022-07-15T07:40:03Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),Ugw9OWQNrtG0PK0fB9B4AaABAg,"People might not like this song at first but I know that they will now! Now that it came out I know this is gonna have a lot of wins and itzy is now back with a wonderful,showstopping,incredible song",UCCHZtykUL5d5ANmo_3W9PTA,itsfhanni,303,2022-07-15T04:40:13Z,2022-07-15T04:40:13Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),Ugz9m8Exlx1M5eZsWa94AaABAg,"All the members shine in this era , I love ittt",UClyYKVUZwO27xWGX44lE4og,HGKP,45,2022-07-15T04:32:09Z,2022-07-15T04:32:09Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),Ugym9lb1HBD439tkJ1Z4AaABAg,their vocals are angelic period,UCUzZV7PH2mvcLBWRbdKOkIg,Jay Manawis,60,2022-07-15T04:27:26Z,2022-07-15T04:27:26Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),UgzfigxF9DLktup7oH94AaABAg,The song and their look was perfect.. They slayed it...,UCatxKPX-cp3wfajwxdD5pfg,Mredula Bhuiyan👒,100,2022-07-15T04:34:29Z,2022-07-15T04:34:29Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),UgxFM2Q7Lgcd_Thl8EJ4AaABAg,imagine seeing this and not stanning ITZY... they are all out of the world visuals and they're all extremely talented i mean just look at THEM!,UCfTQTSs-jWAFvKxlcKQ8lng,A,198,2022-07-15T04:51:29Z,2022-07-15T04:51:29Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),UgzRQQP9x7bS2Q_DqIF4AaABAg,"I really love this song. Idgaf about wht others say. Kpoppies be listening to most unoriginal remakes and calling them ""masterpieces"" while these type of fun, original songs gets hate.
""Childish"" as if kpop never had childish songs.there's like thousands,but they didn't get hate",UCy5BLyYzj5KBss5vFM2Gifw,Streamer 2.0,4,2023-04-06T06:47:50Z,2023-04-06T06:57:14Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),Ugyo4yFuEip40yipCEp4AaABAg,"Chorus part sang by each members
0:48 = Yuna
0:56 = Yeji
1:36 = Lia
1:44 = Ryujin
2:32 = Chaeryoung
Have a nice day!",UCwPh-NvUIwJt48w8i3h3qVQ,꧁𝕭𝖎𝖘𝖍_𝖈𝖍𝖆𝖘𝖊꧂,162,2022-07-15T18:46:19Z,2022-07-15T18:51:51Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),Ugx23aUz3IAkFJl-um14AaABAg,1:04 Im obsessed with Ryujin’s rap here ❤,UCRZCOQkOITYvkpi17RcldYQ,Geana,8,2023-01-21T17:16:59Z,2023-01-21T17:16:59Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),Ugx2ihX74yvfsreMTF14AaABAg,THE PRECHORUS IS A BLESSING IT WAS SO GOOD,UC_XdkoKRDoC08JDyizMY4qQ,hwgyjz,234,2022-07-15T04:31:42Z,2022-07-15T04:31:50Z
lsMFZXJOHZ4,ITZY SNEAKERS Lyrics (있지 SNEAKERS 가사) (Color Coded Lyrics),Ugwzwo1OUEcCS7llbzN4AaABAg,"This song is a banger.
And the dance looks FIRE!!
Lia dance also IMPROVED I'm so proud of her.
Summer of the year!!",UCC6daKb2rEt13S1el_pvQcg,Dinah Blakely,589,2022-07-15T04:30:42Z,2022-07-15T04:30:42Z
