videoId,title,parentId,textDisplay,authorChannelId,authorDisplayName,likeCount,publishedAt,updatedAt
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgxNAerTk0HTUjitvjl4AaABAg,Lia’s vocals *SHINED* in this like yesss you go girl,UCfAmR9EHxmNeY9E_XmyRi1A,Keira Shen,1196,2020-08-17T12:08:44Z,2020-08-17T12:08:44Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,Ugw7XvcLMkordPdfz3R4AaABAg,ITZY will always be iconic,UCBRsSKZ4HQfFSZmqdfyuxeQ,yeji lodge,966,2023-05-16T10:30:50Z,2023-05-16T10:30:50Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgzgNxafsU9ij4UWJKh4AaABAg,THEY REALLY NEED TO HAVE ANOTHER SONG LIKE THIS,UCfCY3hNzJ1j2nxbDhIBn-rw,haerinlee,550,2023-07-20T19:50:06Z,2023-07-20T19:50:06Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgyLwtqbq0dF9TbTxyx4AaABAg,"Chaeryeong's ""ITZEEEYYY"" is still iconic😩🤞",UCwbN5bLJbSg7VvpWHa9-8UQ,Claudine Balboa,102,2023-08-13T00:56:33Z,2023-08-13T00:56:33Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,Ugw4yc-ZARwYnwzErHl4AaABAg,"i swear this is their best song. 
- each member really stood out and shined in their own respective lines
- the choreo also just pops out and is very eye catching 
- the overall vibe of the music video really slays, nice videography
- the song just slaps, from start to finish! 
NEED I SAY MORE???? 
THIS MUSIC VIDEO NEEDS MORE VIEWS!!!",UC_qgNAYKRZ5m463kxIojiVg,sai,309,2023-05-06T13:59:28Z,2023-05-06T13:59:28Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,Ugzpxm5kARXgPbFnofV4AaABAg,İTZY's songs never getting old,UC2pxwIaJwoa2fAifjQVgOLA,Chae'lilys~☆,55,2023-06-16T09:27:32Z,2023-06-16T09:27:32Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgxEJIyQnpHZJnl0fDl4AaABAg,Popular opinion: this MV will be forever iconic,UC3ekOlklg4QjqVMxOHX9FeQ,J-J MAGNAYE,2010,2022-06-15T11:09:52Z,2022-06-15T11:09:52Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,Ugx60Vd-idjumGCVPvh4AaABAg,Their facial expressions and dance performances are incredible! !,UC080Imfjxx7906gUI5M44rA,cosmos,175,2023-03-26T16:37:31Z,2023-03-26T16:37:31Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgzQRibAucLedXcKc8Z4AaABAg,"I will *NEVER* get tired of Ryujin's ""BALEPAPA OSSEO DA CUZ I'M NOT SHY~"" anti-drop part.",UC6SVAQqorJ61fwNyxfY4NGg,Bryan Guegan,218,2023-03-23T06:22:22Z,2023-03-23T06:22:22Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,Ugwva5880h6nVvg7XEl4AaABAg,Still a banger even after 3 years,UCGHSnEuAyUlQpMGYH39zXvw,purple minion,43,2023-06-02T23:01:40Z,2023-06-02T23:01:40Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,Ugwh-_wJonuAC6ytNud4AaABAg,"Finally, 200 million views! Our QUEENS deserve it!",UC7iJuSGhz20fVYuhFN3Tkpg,A...:),49,2023-01-11T19:38:22Z,2023-01-11T19:39:09Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,Ugx-ZFFeZ2TeebJgIUF4AaABAg,This will forever be iconic,UCRaA_LBjBSkCwidCPisYaMw,Gourish Mandal,14,2023-07-26T06:25:15Z,2023-07-26T06:25:15Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgzCnUvUvqhbiqY-In54AaABAg,It’s good to listen “Not Shy”while you’re in road trip because it feels like you’re in the M/V.,UCiBiBmlwJuR7Fh-SLRpDflg,Samantha Kim,3883,2020-08-19T14:05:54Z,2020-08-19T14:05:54Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,Ugw_nJFERb6waVf_n8x4AaABAg,4 YEARS WITH ITZY!!!! HAPPY ANNIVERSARY MY SISTER,UCkVIOycpogRMzvwg8FunXjQ,jxntk_cl,51,2023-02-10T03:52:28Z,2023-02-10T03:52:28Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgwoR4CQ419umZ358LB4AaABAg,Itzy will always be the blueprint of the fourth gen girl crush girl groups,UC-dDEkPJEES4BdWcCQscW1Q,Allie x,221,2023-05-02T17:29:52Z,2023-05-02T17:29:52Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgxnUhjackEQrDHOsSN4AaABAg,perfect song to listen to when on a road trip.,UCR15CvmmM1RyCFPBBHUCrFg,Irene ☆,7,2023-06-10T17:54:35Z,2023-06-10T17:54:35Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgzgaS7xrpin8_6JyQl4AaABAg,I really love Not Shy. IT’z Sooo nostalgic & catchy even the side tracks of Not Shy album is PERFECT LIKE ALWAYS! ♡,UCCLM0Op6AVeyqMdMd2DXs0w,ibiawlshl,6,2023-01-15T18:06:52Z,2023-01-15T18:07:19Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgxzO6ma2AJT0uqf3Zd4AaABAg,I wish they would release another song like this! ITZY still has a lot of potential,UCFCd_Z3R7a3MWFGwr3P_hMA,tortolexie,20,2023-07-07T15:24:17Z,2023-07-07T15:24:17Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgxVFLKJcUSMek1EwJR4AaABAg,The fact that they really put different languages in the translation shows effort to international fans salute to jyp and the itzy production!!,UCY2Ulkqfd5cv8lgVdTPXmWw,Vic. P,569,2020-08-17T15:30:14Z,2020-08-17T15:34:19Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,Ugxdz8awnTTNAQk3WYR4AaABAg,200M VIEWS CONGRATULATIONS ITZYY!! WE LOVE YALL 🥰,UCDsGS6SVg5nHz2k1o_jSo8A,Yunaxs,17,2023-01-12T01:12:53Z,2023-01-12T01:12:53Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgzNlnjm5ILsJx0X6HB4AaABAg,"Finalmente chegou em 200M!!!😭 As meninas merecem muito 💕 obrigada a todos pelos seus esforços, todos amam o itzy",UCyFwfRIoCTsGoBTZgWH6y4A,Joyce Carla Silva,20,2023-01-11T16:27:26Z,2023-01-11T16:27:26Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,Ugy3B7MuYZKRThP4hY14AaABAg,itzy's songs never getting old 💗💗,UCEzB9XYKga2iO2WNpqw_A7A,farha,40,2023-06-14T00:11:32Z,2023-06-14T00:11:32Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgxmjN1G0FFcHid9Pt94AaABAg,I always find myself smiling when watching this MV. The girls are certainly doing a great job. Love ITZY. 💋❤,UCCQ3oUBrX4hkGEpyYuAcffw,robyn rob,18,2023-04-19T05:36:00Z,2023-04-19T05:36:00Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgzESe86UOMLFs8DkK14AaABAg,This song is soooooo good!!!!!! I never get tired listening to ittt we need to support them as much as we can!!!!!!!!,UCHplhYX5ddteltsUcDt2x0w,Jacobb 💜,6,2023-10-15T08:38:17Z,2023-10-15T08:38:17Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,Ugy0Ee5OC_7ZBPVxjQl4AaABAg,ITZY is a whole-ass talented group with their visuals overflowing.,UCd_oFJoD1CwAGdqjSaO3brQ,Aira Jaye,331,2020-08-22T08:38:00Z,2020-08-22T08:38:00Z
wTowEKjDGkU,ITZY “Not Shy” M/V @ITZY,UgyI7Pfbv0TaUCyYYod4AaABAg,"Love the song, love the MV, love the outfits, love the girls, love..Itzy.🥰😍😍🙃😜☺️❤️",UCS4nFhToFgZaz3UKnsp2Etg,Fire Bird,14,2023-01-19T11:09:06Z,2023-01-19T11:09:06Z
