videoId,title,parentId,textDisplay,authorChannelId,authorDisplayName,likeCount,publishedAt,updatedAt
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgxRbajZruvKiUV7klF4AaABAg,"I like the fact that the lines are pretty well distributed, I hope they keep this up in their future comebacks.",UCrygwiFl8N6ShAWZYyWXCtA,mei,617,2019-07-29T02:25:49Z,2019-07-29T02:25:49Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgyYzQQOpUNi57cqpsB4AaABAg,"I love how all the girls share the spotlight, and everyone shines on their own way.",UCiaQdEdq6BPsuxczXvRNSMw,staygenot,1888,2022-12-15T08:45:20Z,2022-12-15T08:45:20Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgzIwuNh3weIG4-paMt4AaABAg,“I see that I’m icy” is just perfect like always. ITZY has the best phrases at their songs. I LOVE ITZY! Midzy forever no matter what.,UCCLM0Op6AVeyqMdMd2DXs0w,ibiawlshl,658,2022-12-19T13:09:34Z,2022-12-19T13:09:34Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgzuTO5_rXCXU3wElpd4AaABAg,"I remember the first I saw this when I was young. In 2019. And now, 2023 I'm watching it again, remembering every lyrics and every part of the music video. Thank you for being my childhood and my favorite group ever since I was young Itzy. I will forever be a midzy!",UCiWG4mFr1NAvOVrAnXW0GdQ,SimplyxXxBlue,13,2023-10-02T04:39:03Z,2023-10-02T04:39:03Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgxX5m8TPLZqY-vM1AJ4AaABAg,I don't understand why people don't like this song 🤔 it's so well produced! I love ! l SEE THAT l'M ICY! 🍧,UCoAH3FaOIOLa3MVirSOmlZA,BUNNIESWORD 토끼 단어,810,2022-12-02T02:35:31Z,2023-05-15T19:56:23Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgzFqMkTf80cXXuCt6p4AaABAg,"We want this musical theme, sound, and style.

Itzy's upbeat songs about confidence and empowerment should come back",UCX_VTRiyYFLlhWFV2z-T1eA,nycto,61,2023-07-23T15:26:02Z,2023-07-23T15:26:02Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgzKqj8iK0-OsXv50O14AaABAg,"The choreography is fire, cant wait for the live performance",UCzHQq5PyVN76B4TS5QF-uOA,Lovely LaLa,482,2019-07-29T00:47:45Z,2019-07-29T00:47:45Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgxoGk3T97YdHbZK5hd4AaABAg,I love Itzy's songs so much. They make me feel energized.,UCN9L8IylpSp7Ee0X-nuPDFw,Chae,383,2023-05-17T20:14:39Z,2023-05-17T20:14:39Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgwY6Fyjw00t6ZrRFDJ4AaABAg,Itzy's singing voices are really great.,UC080Imfjxx7906gUI5M44rA,cosmos,329,2023-03-22T12:29:49Z,2023-03-22T12:29:49Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgxafQIOYQvMiJ8q0Et4AaABAg,I love this comeback so much and CHAE THIS ERA IS YOURS YOU ARE SO FLAWLESS OMG,UCqLleCKExdbNyy46STxJe1A,Camila Estefani,10,2023-06-24T11:39:29Z,2023-06-24T11:39:29Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgykH_bBELjJyT9BGSx4AaABAg,This song is so powerful and the message of the song is very inspiring. The lyrics are super relatable and i love the positive vibe of the song. The music video's really fun and the acting is perfect. They're singing voices are insane and the dance coreography's incredible. The outfits are gorgerous they look stunning and the visuals are stunning. Love the teamwork everyone get's to shine and the energy's just insane. Love them,UCAvCzXDp8k6rcN6H4qh6dXw,Maria Rinta-Rahko,158,2023-01-11T12:39:16Z,2023-01-11T12:39:21Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgwL3oG4Ll0p-GPb__d4AaABAg,"ITZY는 그룹의 음악뿐만 아니라 멤버들의 개성과 매력으로도 큰 주목을 받고 있습니다. 그들은 자신들의 고유한 스타일과 메시지를 담은 노래를 선보이며, 자기 자신을 사랑하고 자신감을 표현하는 내용으로 청소년들과 젊은 세대에게 많은 공감과 용기를 전달하고 있습니다.",UC7PsVTe_4__aJWFjM18Rw9Q,서누,14,2023-07-18T07:13:08Z,2023-07-18T07:13:08Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",Ugwr89eJiJ6BztkG0114AaABAg,I’m really loving how this sounds different but it definitely has their own sound and colour,UCswZI1JLoSZtUDdM3ckyYhg,Sami,440,2019-07-28T16:11:52Z,2019-07-28T16:11:52Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgxjicploagYWDgBxUd4AaABAg,Streaming Icy because this song was what made me dive into the fandom. The mv and song quality is just 🤌,UCT6QyWABE0GJklA5aH5s9mA,kao,340,2022-12-21T05:37:39Z,2022-12-21T05:37:39Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgwoEKrhAPutseDZnVh4AaABAg,itzy is one of the greatest groups if you think about it…imagine going strong from the start for 4 years,UC_wI4elDRoV67On8d8Wdfrg,vanoish,54,2023-02-19T13:38:04Z,2023-02-19T13:38:04Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgxIy0namIkCMdWpE0p4AaABAg,This is one of the best summer songs out there 💃,UCLY633TdfHT0R3yLXoR-dgw,deva dharshini,1,2023-07-16T16:10:55Z,2023-07-16T16:10:55Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",Ugz2hGwP7Gsfdf48qgt4AaABAg,I love ITZY ICY Sooo Much. Watching this everyday and it’s always nostalgic & powerful. I love the bright ITZY Sooo MUCH ♡ ALWAYS A MIDZY  ♡,UCCLM0Op6AVeyqMdMd2DXs0w,ibiawlshl,18,2023-01-15T18:18:40Z,2023-01-15T18:18:40Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",Ugwi120B3DpmtHnMCcB4AaABAg,"It was one of the best songs of their debut, it was art, it hurts that itzy has lost its concept as a group 😥",UCgF9gViWKJ1RvGtaNg_L9SQ,daniela.xloimy,39,2023-07-18T23:53:03Z,2023-07-18T23:53:03Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",Ugy_UamoKuQspC03e3V4AaABAg,"i still can’t choose a bias, they are all gorgeous and unique it’s impossible",UCOd3jcR8-3wtpuu9YlVgotA,Tanisha K,468,2019-08-02T08:50:19Z,2019-08-02T08:50:19Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",Ugx9DD6flWn2kBQRBqd4AaABAg,One of their best. Love this MV ❤,UClrng6qpMciKe2TvxqGMDww,Sand Crush,74,2022-12-16T06:27:10Z,2022-12-16T06:27:10Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgwJqYDWcoCodvXdqBJ4AaABAg,"thank you ITZY, for surviving until now, we MIDZY will always be by your side! 4 YEARS WITH ITZY. WE LOVE YOU!",UCkVIOycpogRMzvwg8FunXjQ,jxntk_cl,63,2023-02-10T03:37:02Z,2023-02-10T03:37:02Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgwUKAFctAA9s_TeKSd4AaABAg,"I can't believe it's already been four years, still love this song",UCB7kGqB8sPGMmtV8Zt1NSew,ああ,8,2023-08-23T17:49:43Z,2023-08-23T17:49:43Z
zndvqTc4P9I,"ITZY ""ICY"" M/V @ITZY",UgxiFxsSUQZYK6BVa9t4AaABAg,I will never forget this comeback <3,UCiaQdEdq6BPsuxczXvRNSMw,staygenot,23,2022-12-15T08:43:58Z,2022-12-15T08:43:58Z
